Opinion,Question,Answer,Sentiment,Confusion,Urgency,CourseType,forum_post_id,course_display_name,forum_uid,created_at,post_type,anonymous,anonymous_to_peers,up_count,comment_thread_id,reads
1,0,0,6.5,2,1.5,Education,5225177f2c501f0a00000015,Education/EDUC115N/How_to_Learn_Math,30CADB93E6DE4711193D7BD05F2AE95C,02-09-2013 22:55,Comment,FALSE,FALSE,0,5221a8262cfae31200000001,41
0,1,0,4,5,3.5,Education,5207d0e9935dfc0e0000005e,Education/EDUC115N/How_to_Learn_Math,37D8FAEE7D0B94B6CFC57D98FD3D0BA5,11-08-2013 17:59,Comment,FALSE,FALSE,0,520663839df35b0a00000043,55
1,0,0,5.5,3,2.5,Education,52052c82d01fec0a00000071,Education/EDUC115N/How_to_Learn_Math,CC11480215042B3EB6E5905EAB13B733,09-08-2013 17:53,Comment,FALSE,FALSE,0,51e59415e339d716000001a6,25
1,0,0,6,3,2.5,Education,5240a45e067ebf1200000008,Education/EDUC115N/How_to_Learn_Math,C717F838D10E8256D7C88B33C43623F1,23-09-2013 20:28,CommentThread,FALSE,FALSE,0,None,0
1,0,0,7,2,3,Education,5212c5e2dd10251500000062,Education/EDUC115N/How_to_Learn_Math,F83887D68EA48964687C6441782CDD0E,20-08-2013 01:26,CommentThread,FALSE,FALSE,0,None,3
1,0,0,3,3.5,3,Education,521fd16a8b435d1200000010,Education/EDUC115N/How_to_Learn_Math,03300F7CF4CF6B5EBC88CC998ABC3824,29-08-2013 22:55,CommentThread,FALSE,FALSE,1,None,3
1,0,1,4,1.5,3,Education,51e53d18e339d7120000002f,Education/EDUC115N/How_to_Learn_Math,BB6D15555695EB1810A58D3F36FC0A01,16-07-2013 12:31,Comment,FALSE,FALSE,0,51e4f3f22862790a000004cd,362
1,0,0,4.5,3,3,Education,51e9a19d626eff0e00000075,Education/EDUC115N/How_to_Learn_Math,F2268A8AB67242B72D9FB19DC740DDF0,19-07-2013 20:29,CommentThread,FALSE,FALSE,0,None,11
1,0,0,6.5,3,3,Education,52185b2192bafe1600000003,Education/EDUC115N/How_to_Learn_Math,2537A52F82AF9EDDD75BB849B01CD9F8,24-08-2013 07:05,Comment,FALSE,FALSE,0,5218589b92bafe1600000002,8
1,0,0,5,2,3,Education,51e82854e8a51212000000af,Education/EDUC115N/How_to_Learn_Math,D8FF02712FD0493D607B06A36F82494E,18-07-2013 17:39,Comment,FALSE,FALSE,0,51e74f7de8a5120e0000001f,20
